01,McSpicy Solo,Food,174.00,Medium Fries,74.00,McFlurry with Oreo,57.00,Medium Fries and McFlurry,131.00
02,10 pcs McNuggets Solo,Food,204.00,Extra Sweet and Sour,12.00,Extra BBQ Sauce,12.00,Add Both Sauec,24.00
03,Chicken McDo Solo,Food,90.00,Medium Fries,74.00,Extra Plain Rice,33.00,Extra Gravy,10.00
04,McFlurry,Dessert,57.00,~,~,~,~,~,~
05,Big Mac Solo,Food,171,Medium Fries,74.00,McFlurry with Oreo,57.00,Medium Fries and McFlurry,131.00
06,BFF Fries,Appetizer,154.00,~,~,~,~,~,~
07,McCrispy Chicken Fillet Solo,Food,62.00,Medium Fries,74.00,Extra Plain Rice,33.00,Extra Gravy,10.00
08,Mushroom Pepper Steak Solo,Food,89.00,Medium Fries,74.00,Extra Plain Rice,33.00,Extra Sauce,10.00
09,McSpaghetti Solo,Food,61.00,Medium Fries,74.00,Extra Cheese,15.00,Medium Fries + Extra Cheese,84.00
10,Happy Meal,Food,134.00,~,~,~,~,~,~
